"employee_name","email"
"Maria Santos","maria.santos@company.com"
"Juan Dela Cruz","juan.delacruz@company.com"
"Ana Reyes","ana.reyes@company.com"
"Carlos Garcia","carlos.garcia@company.com"
"Sofia Mendoza","No email provided"
"Miguel Torres","miguel.torres@company.com"
"Isabella Cruz","isabella.cruz@company.com"
"Rafael Aquino","rafael.aquino@company.com"
"Patricia Lim","patricia.lim@company.com"
"Daniel Tan","daniel.tan@company.com"
"Angela Rivera","angela.rivera@company.com"
"Roberto Flores","roberto.flores@company.com"
"Christine Go","christine.go@company.com"
"Marco Villanueva","marco.villanueva@company.com"
"Joy Bautista","joy.bautista@company.com"
"Kenneth Sy","kenneth.sy@company.com"
"Grace Domingo","grace.domingo@company.com"
"Leo Pascual","leo.pascual@company.com"
"Nicole Ramos","No email provided"
"Patrick Ong","patrick.ong@company.com"
"Maria Santos","maria.santos@company.com"
"Juan Dela Cruz","juan.delacruz@company.com"
"Ana Reyes","ana.reyes@company.com"
"Carlos Garcia","carlos.garcia@company.com"
"Sofia Mendoza","No email provided"
"test entry","test@test.com"
"Miguel Torres","miguel.torres@company.com"
"Isabella Cruz","isabella.cruz@company.com"
"Rafael Aquino","rafael.aquino@company.com"
"Patricia Lim","patricia.lim@company.com"
